PROJECT_TITLE,NIH_SPENDING_CATS
Genomic and Proteomic Architecture of Atherosclerosis,Aging; Atherosclerosis; Biotechnology; Cardiovascular; Genetics; Human Genome; Pediatric; 
Interaction of Emotional Perception and Visual Attention,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Mental Health; Neurosciences; 
Automating mosquito microdissection for a malaria PfSPZ vaccine,Bioengineering; Biotechnology; Immunization; Infectious Diseases; Malaria; Malaria Vaccine; Orphan Drug; Prevention; Rare Diseases; Vaccine Related; Vector-Borne Diseases; 
Mechanisms of Substrate Reduction Therapy for Niemann-Pick C Disease,Biotechnology; Neurosciences; Orphan Drug; Pediatric; Rare Diseases; 
Multimodal Peptide Amphiphile Micelles for Atherosclerosis,Aging; Atherosclerosis; Bioengineering; Cardiovascular; Diagnostic Radiology; Heart Disease; Heart Disease - Coronary Heart Disease; 
The Role of MEIS1 in Hematopoiesis and Hematopoietic Transformation,Biotechnology; Cancer; Hematology; Rare Diseases; 
The Psp response of Yersina enterocolitica,Biodefense; Digestive Diseases; Emerging Infectious Diseases; Genetics; Infectious Diseases; Rare Diseases; 
A Cluster-Randomized Trial of Pharmacist-Coordinated Implementation of the DPP,Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Diabetes; Health Services; Nutrition; Obesity; Prevention; 
Heterotrimeric G Protein Signaling In Allergic Inflammation,Allergic Rhinitis (Hay Fever); Asthma; Genetics; Lung; 
Role of beta catenin mediated neural stem cell and astrocyte proliferation in TBI,Brain Disorders; Injury (total) Accidents/Adverse Effects; Injury - Trauma - (Head and Spine); Injury - Traumatic brain injury; Neurosciences; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Electric field-assisted membranes for organic solvent nanofiltration,Bioengineering; Biotechnology; 
Repurposing alpha1 noradrenergic antagonists for alcoholism treatment,"Alcoholism, Alcohol Use and Health; Behavioral and Social Science; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Neurosciences; Prevention; Substance Abuse; "
CPML - Core C: Bioinformatics & Biostatistical Core,Biotechnology; Cancer; Childhood Leukemia; Clinical Research; Genetics; Hematology; Human Genome; Orphan Drug; Patient Safety; Pediatric; Pediatric Cancer; Rare Diseases; 
Longitudinal assessment of novel biomarkers for predicting cardiovascular disease in youth,Atherosclerosis; Cardiovascular; Clinical Research; Heart Disease; Obesity; Pediatric; Prevention; 
Fox Transcription factors in lymphatic vessel development,Genetics; 
Central and Effector B cells in the Lung,Biodefense; Emerging Infectious Diseases; Immunization; Infectious Diseases; Influenza; Pneumonia & Influenza; Prevention; Vaccine Related; 
Northwest NCI Community Oncology Research Program,Cancer; Clinical Research; Clinical Trials and Supportive Activities; Health Services; Prevention; 
Expanding small molecule functional metagenomics through shuttle BAC expression i,Biotechnology; Emerging Infectious Diseases; Genetics; Infectious Diseases; 
Immunology and Cell Processing,Biotechnology; Cancer; Genetics; Immunization; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation; Vaccine Related; 
Novel molecular therapeutics for cystic fibrosis,Cystic Fibrosis; Lung; Orphan Drug; Rare Diseases; 
Dynamic markers of intraoperative instability,Cardiovascular; Clinical Research; Heart Disease; Heart Disease - Coronary Heart Disease; Hypertension; Patient Safety; Prevention; 
Microglia mediate cell death in a model system for sex differences in the brain,Estrogen; Neurosciences; Prevention; 
Objective decision support environment for clinical trials,Bioengineering; Brain Cancer; Brain Disorders; Cancer; Clinical Research; Clinical Trials and Supportive Activities; Diagnostic Radiology; Neurosciences; Rare Diseases; 
Automated nanopore platform for microRNA based diagnostics,Bioengineering; Biotechnology; Cancer; Genetics; Lung; Lung Cancer; Nanotechnology; Prevention; 
PI 3-Kinase and Metastasis,Breast Cancer; Cancer; 
Treatment of secondary injury after ischemic stroke through targeting microglia,Aging; Brain Disorders; Neurosciences; Rehabilitation; Stroke; 
Center for Point-of-Care Technologies Research for Sexually Transmitted Diseases,Bioengineering; Clinical Research; HIV/AIDS; Infectious Diseases; Sexually Transmitted Diseases/Herpes; 
Validation and application of portable particulate device in the UW Twin Registry,Basic Behavioral and Social Science; Behavioral and Social Science; Climate-Related Exposures and Conditions; Clinical Research; Prevention; 
Automated Ultrasensitive Detection of Light Chain Restriction in Lymphoproliferat,Biotechnology; Cancer; Genetics; Hematology; Lymphoma; Rare Diseases; 
Proteomics,Biotechnology; Cardiovascular; Clinical Research; Genetics; Human Genome; Kidney Disease; Organ Transplantation; Rare Diseases; Transplantation; 
Role of Vpu in Retroviral Particle Assembly,Clinical Research; HIV/AIDS; 
exRNA signatures Predict Outcomes after brain injury,Biotechnology; Brain Disorders; Clinical Research; Genetics; Hydrocephalus; Infant Mortality/ (LBW); Injury (total) Accidents/Adverse Effects; Injury - Trauma - (Head and Spine); Injury - Traumatic brain injury; Neurosciences; Pediatric; Perinatal - Birth - Preterm (LBW); Perinatal Period - Conditions Originating in Perinatal Period; Stroke; 
New mouse models for inducible cell-specific ablation,Neurosciences; Regenerative Medicine; 
Regulation of the ATR Checkpoint Kinase by DNA Damage,Cancer; Genetics; 
Community-Based Cognitive Training in Early Schizophrenia,Behavioral and Social Science; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Health Services; Mental Health; Neurosciences; Prevention; Rehabilitation; Schizophrenia; Serious Mental Illness; 
Convergence Insufficiency Treatment Trial - Attention and Reading Trial,Behavioral and Social Science; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Eye Disease and Disorders of Vision; Pediatric; 
Genetics of Autoimmune Hemolytic Anemia,Autoimmune Disease; Biotechnology; Genetics; Hematology; Human Genome; Lupus; Rare Diseases; 
Animal Structure and Function,Bioengineering; Eye Disease and Disorders of Vision; Neurosciences; 
GASES: COMPRESSED AND LIQUEFIED,Cancer; 
Free Radical Cancer Biology,Cancer; 
Circulating Blood-Based Diagnostic for Mild Cognitive Impaired Victims,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease Related Dementias (ADRD); Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Biotechnology; Brain Disorders; Clinical Research; Dementia; Lewy Body Dementia; Neurodegenerative; Neurosciences; 
Detection and Clearance of AD Lesions,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease Related Dementias (ADRD); Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Dementia; Immunization; Neurodegenerative; Neurosciences; Prevention; Vaccine Related; Vascular Cognitive Impairment/Dementia; 
2015 North American Association of Central Cancer Registries Annual Conference,Cancer; 
RePORT South Africa,HIV/AIDS; 
Multi-Resolution Docking Methods for Electron Microscopy,Bioengineering; Networking and Information Technology R&D; 
Human Gut Commensal Cross-reactivity in Antiphospholipid Syndrome,Autoimmune Disease; Clinical Research; Lupus; Rare Diseases; 
Clinical/Translational Core,Cardiovascular; Clinical Research; Hypertension; Kidney Disease; 
"Object, face,  body and scene representations in the human brain",Basic Behavioral and Social Science; Behavioral and Social Science; Clinical Research; Eye Disease and Disorders of Vision; Mental Health; Neurosciences; 
Understudied polycyclic aromatic hydrocarbons involved in pulmonary inflamation,Health Effects of Indoor Air Pollution; Lung; Smoking and Health; Tobacco; 
Role of Soluble Guanylate Cyclase Alpha 1 in Open Angle Glaucoma,Aging; Eye Disease and Disorders of Vision; Neurodegenerative; Neurosciences; 
Molecular Genetics of Endocrine Tumors and Related Disorders,Biotechnology; Cancer; Clinical Research; Genetics; Human Genome; Rare Diseases; 
Glottal Jet Aerodynamics,Clinical Research; 
Bench-top human metabolism system for improved IVIVE in drug development,Bioengineering; Biotechnology; Clinical Research; Digestive Diseases; 
Exploring the Benefits of Time-of-Flight PET,Bioengineering; Clinical Research; Diagnostic Radiology; 
Immigration Enforcement and the Health of Immigrants and their Children,Basic Behavioral and Social Science; Behavioral and Social Science; Clinical Research; Pediatric; 
Gastrointestinal Cancer Research Program (GI) (Project-005),Cancer; Colo-Rectal Cancer; Digestive Diseases; Pancreatic Cancer; Rare Diseases; 
Microbiological Testing of Live Biotherapeutic Products,Biotechnology; Complementary and Alternative Medicine; Nutrition; 
Building Research And Innovation in Nigeria's Science  - (BRAINS),HIV/AIDS; Infectious Diseases; Neurosciences; 
Regulatory Role of CACNA1C Intronic DNA Variation Relevant to Psychiatric Disease,Biotechnology; Brain Disorders; Genetics; Human Genome; Mental Health; Prevention; 
Pharmacology Core,Clinical Research; HIV/AIDS; Infectious Diseases; 
CELL THERAPIES CORE FACILITY,Biotechnology; Cancer; Clinical Research; Clinical Trials and Supportive Activities; 
Shared Genomic Segment Analysis and Tumor Subtyping in High-Risk BrCa Pedigrees,Breast Cancer; Cancer; Clinical Research; Genetic Testing; Genetics; Human Genome; Prevention; 
QUS Technology for Diagnosis and Grading of Hepatic Steatosis in NAFLD,Chronic Liver Disease and Cirrhosis; Clinical Research; Diagnostic Radiology; Digestive Diseases; Liver Disease; 
Non-linear Optical Collagen Cross-linking (NLO CXL) for Treatment of Keratoconus.,Bioengineering; Eye Disease and Disorders of Vision; Rare Diseases; 
Epigenetic biomarkers of response to Azacytidine in Myelodysplastic Syndromes,Cancer; Genetics; Hematology; Human Genome; Orphan Drug; Pediatric; Pediatric Cancer; Prevention; Rare Diseases; 
Water soluble variants of the human mu opioid receptor,Biotechnology; Neurosciences; Pain Conditions - Chronic; Pain Research; 
Molecular Analysis of the Kinetochore,Genetics; 
Transcriptional Control of Motor Neuron Identity and Connectivity. - Renewal - 1,Genetics; Neurosciences; 
Alternative Cleavage and Polyadenylation in Trophoblast Differentiation,Clinical Research; Genetics; Pediatric; Stem Cell Research; Stem Cell Research - Embryonic - Human; 
Hepatitis B Research Network - Data Coordination Center,Chronic Liver Disease and Cirrhosis; Clinical Research; Clinical Trials and Supportive Activities; Digestive Diseases; Hepatitis; Hepatitis - B; Infectious Diseases; Liver Disease; Patient Safety; 
MTDH regulates Fanconi anemia repair pathway to mediate drug resistance,Biotechnology; Cancer; Genetics; Hematology; Rare Diseases; Uterine Cancer; 
Developing methods for curating multi-omics data,Genetics; 
Brain Amyloid Accrual in Non Demented People:  Preclinical AD or Brain Resilience,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Clinical Research; Dementia; Diagnostic Radiology; Neurodegenerative; Neurosciences; 
27th Annual Workshop on MR Angiography,Bioengineering; Cardiovascular; Diagnostic Radiology; 
Coordination of cell fate decision with the cell cycle,Genetics; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Embryonic - Human; 
Bone Mineral Accretion in Young Children,Clinical Research; Osteoporosis; Pediatric; Prevention; 
Stem Cell Renewal and Differentiation in Spermatogenesis,Contraception/Reproduction; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Role of Protective and Pathogenic B cells in Modulating Pediatric Severe Malaria,Clinical Research; Infectious Diseases; Malaria; Pediatric; Rare Diseases; Vector-Borne Diseases; 
STAT Mediated TGF-a/EGFR Signaling in Squamous Cell Carcinomas of Head & Neck,Cancer; Dental/Oral and Craniofacial Disease; Rare Diseases; 
Role of Grainyhead-like 2 (GRHL2) in oral carcinogenesis,Biotechnology; Cancer; Dental/Oral and Craniofacial Disease; Digestive Diseases; Genetics; Human Genome; Rare Diseases; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Stem Cell Research - Nonembryonic - Non-Human; 
Signaling by Chondroitin Sulfate Proteoglycans,Neurosciences; Regenerative Medicine; 
Melanin-Concentrating Hormone: Ancestral Role in Feeding & Sleep Regulation,Basic Behavioral and Social Science; Behavioral and Social Science; Genetics; Neurosciences; Nutrition; Obesity; Sleep Research; 
Technologies to Advance Next Generation Anthrax Vaccines,Anthrax; Biodefense; Emerging Infectious Diseases; Immunization; Infectious Diseases; Orphan Drug; Prevention; Rare Diseases; Vaccine Related; 
Exploring the Efficacy of a Proteoglycan Mimic for Treatment of Interstitial Cystitis,Interstitial Cystitis; Pain Conditions - Chronic; Pain Research; Urologic Diseases; 
Inhibitory Controls in the Thalamic Reticular Nucleus,Brain Disorders; Epilepsy; Neurodegenerative; Neurosciences; 
Longitudinal In Vivo Imaging of NIS Expressing Stem Cells,Diagnostic Radiology; Genetics; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; 
HIV HCV Coinfection Antiviral Therapy and Fibrosis,Chronic Liver Disease and Cirrhosis; Clinical Research; Digestive Diseases; Drug Abuse (NIDA only); Emerging Infectious Diseases; HIV/AIDS; Hepatitis; Hepatitis - C; Infectious Diseases; Liver Disease; Substance Abuse; 
A Flexible Epidermal Multimodal Health Monitor,Aging; Bioengineering; Cardiovascular; Clinical Research; Diabetes; Health Services; Heart Disease; Networking and Information Technology R&D; Nutrition; Prevention; 
Trial to Assess Chelation Therapy 2 (TACT2) DCC,Atherosclerosis; Cardiovascular; Clinical Research; Clinical Trials and Supportive Activities; Complementary and Alternative Medicine; Cost Effectiveness Research; Diabetes; Heart Disease; Heart Disease - Coronary Heart Disease; Patient Safety; 
Administrative Core,Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; 
Roles of RhoA/Rho-kinase Signaling in Cavernous Neurons Following Axonal Injury,Aging; Biotechnology; Cancer; Clinical Research; Injury (total) Accidents/Adverse Effects; Neurosciences; Prostate Cancer; Regenerative Medicine; Urologic Diseases; 
Novel circuit mapping strategies to reverse engineer the retina,Bioengineering; Eye Disease and Disorders of Vision; Neurosciences; 
Interactions Regulating Translation and Protein Biogenesis in Vivo,Biotechnology; 
High Performance Computing Instrumentation for the Yale Center for Genome Analysi,Bioengineering; Biotechnology; Genetics; Human Genome; Networking and Information Technology R&D; Pediatric; 
Role of microglia during retinal neurogenesis,Eye Disease and Disorders of Vision; Neurosciences; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Improved Algorithms for Macromolecular Structure Determination by cyro-EM,Bioengineering; Networking and Information Technology R&D; 
Impact of 18F-FDOPA-PET on neurosurgery and radiotherapy of glioma patients,Bioengineering; Brain Cancer; Brain Disorders; Cancer; Clinical Research; Diagnostic Radiology; Neurosciences; Rare Diseases; 
Pathology Core,Brain Cancer; Brain Disorders; Cancer; Neurosciences; Rare Diseases; 
Aging and Cochlear Nonlinearity,Aging; Clinical Research; Neurosciences; 
Assessment of joint effects of pesticides and air pollution in pediatric asthma,Asthma; Climate-Related Exposures and Conditions; Clinical Research; Health Effects of Indoor Air Pollution; Lung; Pediatric; Pediatric Research Initiative; Prevention; Rural Health; 
N-acetylcysteine for Relapse Prevention to Cocaine Use,Behavioral and Social Science; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Complementary and Alternative Medicine; Drug Abuse (NIDA only); Neurosciences; Prevention; Substance Abuse; 
Stress-induced hypertension and the role of the neuroimmune system,Basic Behavioral and Social Science; Behavioral and Social Science; Cardiovascular; Hypertension; Neurosciences; 
PItt-Ohio State-Georgetown Clinical Trials Unit,Clinical Research; Clinical Trials and Supportive Activities; Emerging Infectious Diseases; HIV/AIDS; Infectious Diseases; Prevention; Topical Microbicides; 
The COMPASS family of H3K4 methylases in development and cancer,Biotechnology; Cancer; Genetics; Hematology; 
Neuron-glial interactions within the basal ganglia,Drug Abuse (NIDA only); Neurosciences; Substance Abuse; 
Postdoctoral Training in the Biology of Drug Abuse,Drug Abuse (NIDA only); Substance Abuse; 
The role of KIF9 in glioma invasion,Brain Cancer; Brain Disorders; Cancer; Neurosciences; Orphan Drug; Rare Diseases; 
Involvement Of Human Viruses Associated With Chronic Neurologic Disease,Clinical Research; Emerging Infectious Diseases; HIV/AIDS; Infectious Diseases; Neurosciences; Rare Diseases; 
Impact of Alcohol Use and HIV Infection on Brain Connectivity Abnormalities,"Alcoholism, Alcohol Use and Health; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Diagnostic Radiology; HIV/AIDS; Infectious Diseases; Mental Health; Neurosciences; Substance Abuse; "
Epigenetic pathology and therapy in Huntington's disease,Brain Disorders; Genetics; Huntington's Disease; Neurodegenerative; Neurosciences; Rare Diseases; 
North Carolina Translational & Clinical Sciences Institute (NC TraCS),Clinical Research; HIV/AIDS; 
Transfer of microRNA regulators from glioblastoma to brain microenvironment ,Biotechnology; Brain Cancer; Brain Disorders; Cancer; Genetics; Neurosciences; Rare Diseases; 
Epigenetic Control of Endothelial and T Cell States By BET Reader Proteins,Biotechnology; Cardiovascular; Genetics; Heart Disease; Heart Disease - Coronary Heart Disease; 
Evaluation and treatment of enthesitis-related arthritis,Arthritis; Autoimmune Disease; Clinical Research; Comparative Effectiveness Research; Pain Conditions - Chronic; Pain Research; Pediatric; Rare Diseases; Rheumatoid Arthritis; 
PTHrP/IHH Microenvironment Control for Growth Plate Tissue Engineering,Bioengineering; Biotechnology; Injury (total) Accidents/Adverse Effects; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation; 
Neurobiology of Substance Abuse and Addiction,"Alcoholism, Alcohol Use and Health; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Cannabinoid Research; Clinical Research; Diagnostic Radiology; Drug Abuse (NIDA only); Mental Health; Neurosciences; Sleep Research; Substance Abuse; "
BK Channels of Hair Cells,Genetics; Neurosciences; 
A longitudinal immunological and virological study for ME CFS biomarker discovery,Autoimmune Disease; Brain Disorders; Clinical Research; Emerging Infectious Diseases; Genetic Testing; Genetics; Infectious Diseases; Multiple Sclerosis; Neurodegenerative; Neurosciences; Prevention; 
Neuroendocrinology,"Alcoholism, Alcohol Use and Health; Basic Behavioral and Social Science; Behavioral and Social Science; Neurosciences; Substance Abuse; "
The impact of sex chromosomes on the ability to recover from sleep loss,Genetics; Neurosciences; Sleep Research; 
Characterization of SLE-susceptibility loci on mouse chromosome 1,Autoimmune Disease; Clinical Research; Genetics; Lupus; 
Foxp3+ Treg Cells & Primary Graft Dysfunction in Clinical Lung Tx Recipients,Acute Respiratory Distress Syndrome; Clinical Research; Lung; Organ Transplantation; Orphan Drug; Rare Diseases; Transplantation; 
Glutamate-dependent behavior of Pseudomonas aeruginosa,Cystic Fibrosis; Genetics; Infectious Diseases; Lung; Rare Diseases; 
"The NIH Inter-Institute Training Program in Endocrinology, Diabetes & Metabolism",Clinical Research; Diabetes; Health Services; 
'7/9' Predictors and Mechanisms of Conversion to Psychosis,Brain Disorders; Clinical Research; Mental Health; Neurosciences; Serious Mental Illness; 
Mast Cells Mediate the Skeletal Response to Intermittent and Continuous PTH,Osteoporosis; 
ADD PROGRAM SYMPOSIUM,Brain Disorders; Epilepsy; Neurodegenerative; Neurosciences; 
CALDAR Institute on Longitudinal Research Findings and Methods,Brain Disorders; Drug Abuse (NIDA only); Substance Abuse; 
Optic neuritis in aquaporin-4-IgG seropositive neuromyelitis optica,Autoimmune Disease; Brain Disorders; Clinical Research; Eye Disease and Disorders of Vision; Multiple Sclerosis; Neurodegenerative; Neurosciences; 
"APOC3, HDL Function and Cardiovascular Complications of T1DM",Atherosclerosis; Autoimmune Disease; Cardiovascular; Clinical Research; Diabetes; Heart Disease; Pediatric; Prevention; 
Personalized Immunotherapy of Patients with Ovarian Cancer,Cancer; Clinical Research; Immunization; Orphan Drug; Ovarian Cancer; Prevention; Rare Diseases; Vaccine Related; 
Gender-dimorphic Regulation of Sleep,Basic Behavioral and Social Science; Behavioral and Social Science; Neurosciences; Sleep Research; 
Development of Gli1-Selective Therapeutics for Hedgehog Pathway-Dependent Cancers,Biotechnology; Brain Cancer; Brain Disorders; Cancer; Genetics; Pediatric; Pediatric Cancer; Rare Diseases; 
Stem Cells in Vascular Remodeling,Atherosclerosis; Cardiovascular; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Stem Cell Research - Nonembryonic - Non-Human; 
Protocol Review and Monitoring System,Cancer; Clinical Research; 
Functional characterization of the Bronx waltzer deafness gene,Brain Disorders; Genetics; Neurosciences; 
Function of human & mouse Beta-globin locus control regions,Biotechnology; Cooley's Anemia; Genetics; Hematology; Human Genome; Rare Diseases; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Stem Cell Research - Nonembryonic - Non-Human; 
Engineered Microenvironments to model effect of size in tumor progression,Bioengineering; Breast Cancer; Cancer; 
Inhibition of GSK3 beta as potential therapy for DM1,Diabetes; Genetics; Muscular Dystrophy; Myotonic Dystrophy; Rare Diseases; 
Senior Leadership,Cancer; Clinical Research; 
Community-Based Evaluation of APOL1 Genetic Testing in African Americans,Clinical Research; Genetic Testing; Genetics; Human Genome; Kidney Disease; Organ Transplantation; Prevention; Transplantation; 
Impacts of universal access to HIV/AIDS care among HIV+ injection drug users,Clinical Research; Drug Abuse (NIDA only); HIV/AIDS; Health Services; Infectious Diseases; Prevention; Substance Abuse; 
Chemical Address Tags: A Cheminformatics & Image Data Management and Analysis Plan - Supplement,Networking and Information Technology R&D; 
Motivational Enhancement System for Adherence (MESA) for Youth Starting ART,Behavioral and Social Science; Clinical Research; Clinical Trials and Supportive Activities; HIV/AIDS; Mental Health; Pediatric; Pediatric AIDS; Prevention; 
Hypermagnetic engineered proteins for functional neuroimaging,Bioengineering; Biotechnology; Diagnostic Radiology; Mental Health; Neurosciences; 
Tracking HIV Infection and Alcohol Abuse CNS Comorbidity with Neuroimaging,"Acquired Cognitive Impairment; Aging; Alcoholism, Alcohol Use and Health; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Dementia; Diagnostic Radiology; Digestive Diseases; Emerging Infectious Diseases; HIV/AIDS; Hepatitis; Hepatitis - C; Infectious Diseases; Liver Disease; Mind and Body; Neurosciences; Prevention; Substance Abuse; "
Cardiac Sarcoplasmic Reticulum Calcium Cycling Proteins,Aging; Cardiovascular; Heart Disease; 
Mechanistic investigation of variants in the human glycosylase Nth1,Cancer; Genetics; Human Genome; 
Modeling Chromatin Organization and Function,Genetics; 
Impaired Endothelial Maturation and the Developmental Origin of Vascular Disease,Cardiovascular; Hypertension; Infant Mortality/ (LBW); Pediatric; Perinatal - Birth - Preterm (LBW); Perinatal Period - Conditions Originating in Perinatal Period; 
Staff and School Factors Affecting Implementation of ASD Interventions in Schools,Autism; Behavioral and Social Science; Brain Disorders; Clinical Research; Intellectual and Developmental Disabilities (IDD); Mental Health; Pediatric; 
Effect of Adrenal and Gonadal Hormones on Bone Marrow and Appendicular BMD,Anorexia; Clinical Research; Clinical Trials and Supportive Activities; Diagnostic Radiology; Eating Disorders; Estrogen; Mental Health; Nutrition; Osteoporosis; Pediatric; Serious Mental Illness; 
